"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/LegiaKosz/status/1780914396102811734","Thu Apr 18 11:00:54 +0000 2024","⛹️Sport to pasja i emocje ale i również trudne momenty. O radzeniu sobie z hejtem w sporcie i dbaniu o przygotowanie psychiczne rozmawiali @wykson91 i Magdalena Chorzewska!👩‍🏫 

Spotkanie odbyło się w ramach projektu ""Wrzuć hejt do kosza"" realizowanego przez Fundacja UNIQA! https://t.co/H9qDAiX78D","4","3"
"https://twitter.com/SIGALUNIQAGROUP/status/1780891448159744148","Thu Apr 18 09:29:43 +0000 2024","Merr më shumë ℹ️ në: https://t.co/TeR97Hy9dh

Me SIGAL UNIQA Group Austria, jetojmë më mirë së bashku!

#sigal #uniqa #sigaluniqa #SigurimiAntiTumor","0","0"
"https://twitter.com/SIGALUNIQAGROUP/status/1780891406803828767","Thu Apr 18 09:29:33 +0000 2024","Ju përfitoni 👇🏻:
✅Dëmshpërblim në masën e shumës së siguruar në formë të menjëhershme.
✅Opinion i dytë mjekësor nga qendrat mjekësore më të specializuara në botë për çdo diagnozë të identifikuar.
✅Tarifë mujore e përballueshme për këdo.","0","0"
"https://twitter.com/SIGALUNIQAGROUP/status/1780891336960352296","Thu Apr 18 09:29:16 +0000 2024","Lufta kundër tumoreve është një prej sfidave më të mëdha që kërkon jo vetëm spitale dhe mjekë shumë të mirë, por edhe kosto të mëdha financiare 💰

Sigurimi Anti-Tumor nga SIGAL UNIQA, është miku juaj 👥 më i mirë në ditët më të vështira https://t.co/xNxhSp4s2k","0","0"
"https://twitter.com/nova_praha/status/1780838991064899757","Thu Apr 18 06:01:16 +0000 2024","Počty střetů a havárií skútrů narůstají podle údajů pojišťovny UNIQA každoročně o přibližně 10 procent
https://t.co/C3o1z9KgL2","0","0"
"https://twitter.com/MitPolska/status/1780589767773540446","Wed Apr 17 13:30:57 +0000 2024","Współodpowiedzialność w walce z hejtem - darmowe wydarzenie 25.04 o 9:00 w Warszawie. #PiotrLipa z #UNIQAPolska podzieli się spostrzeżeniami.

Zapisz się: https://t.co/9SmqSl40YB

#wydarzeniaMIT #MIT #MITPolska #UNIQA #hejt #ICANInstitute #ESG #CSR #OdpowiedzialnyBiznes https://t.co/QRUtCP44tT","1","0"
"https://twitter.com/Cashlesspl/status/1780569346672070786","Wed Apr 17 12:09:48 +0000 2024","Uniqa ułatwi zdalne kupowanie polis. Klienci potwierdzą tożsamość za pomocą usługi mojeID https://t.co/Y8IKiHkqWn","2","1"
"https://twitter.com/dentalinfo_nl/status/1780558061163155937","Wed Apr 17 11:24:57 +0000 2024","KaVo organiseert de Dental Excellence Benelux-tour. In onze mobiele showroom: het nieuwe KaVo ProXam-product portfolio, innovatieve instrumenten en het ultramoderne KaVo uniQa behandelconcept. Met exclusieve aanbiedingen.  Lees meer over de tour👇https://t.co/1qh0kJuz30 https://t.co/SPAM3muk9A","0","0"
"https://twitter.com/KaVoDental/status/1780536804191440950","Wed Apr 17 10:00:29 +0000 2024","#KaVo #uniQa – Four aspects largely determine the uniQa's unmistakable character: the new patient chair, the intelligent #hygienefunctions, the smart touch operation and the outstanding design with its clear, compact design language. https://t.co/o1rBnLGte2
#KaVouniQa #dental https://t.co/z1bYFRuzu9","0","0"
"https://twitter.com/NowinyLokalne/status/1780476567275090205","Wed Apr 17 06:01:07 +0000 2024","Rzeczywistość bez przemocy: Uniwersytet SWPS, Fundacja UNIQA i RESQL walczą o bezpieczne szkoły https://t.co/CMqESCj7Cr","0","0"
"https://twitter.com/XiioUniqa/status/1780393342490054977","Wed Apr 17 00:30:25 +0000 2024","E vuelto xd.","0","0"
"https://twitter.com/NUNBOC/status/1780328706180804968","Tue Apr 16 20:13:35 +0000 2024","@qmerty94729 @LukaszGibala No i? Strabag jest firma austriacką w której udziały też posiada Uniqa Raiffeisen (bank).","0","0"
"https://twitter.com/SIGALUNIQAGROUP/status/1780201712269107662","Tue Apr 16 11:48:57 +0000 2024","Me një ekip të specializuar, ne ofrojmë zgjidhje të personalizuara dhe të avancuara për të mbrojtur biznesin tuaj nga rreziqet e papritura dhe të pakëndshme

Merr më shumë informacion: 👉🏻 https://t.co/s4l8vzE03o

Me SIGAL UNIQA Group Austria, jetojmë më mirë së bashku!

#sigal","0","0"
"https://twitter.com/SIGALUNIQAGROUP/status/1780201667335463021","Tue Apr 16 11:48:46 +0000 2024","A jeni gati të ndërtoni biznesin tuaj, pa shqetësime për rreziqet me të cilat mund të përballeni? SIGAL UNIQA është këtu për t’ju mbështetur në këtë rrugëtim! 🚀 https://t.co/fDMKZcRrwz","0","0"
"https://twitter.com/BloombergAdrBiH/status/1780174293466251354","Tue Apr 16 10:00:00 +0000 2024","Još uvijek se borimo s predrasudama da je osiguranje nepotrebno i skupo, kazao je Eldar Dudo, direktor UNIQA osiguranje u BiH 👇

https://t.co/9pfoyUnDfz","1","0"
"https://twitter.com/gazetaua_twit/status/1780174051509448765","Tue Apr 16 09:59:02 +0000 2024","У спільному спецпроєкті з компанією UNIQA розповідаємо про медичне страхування як явище, які тут є опції і бонуси.","0","0"
"https://twitter.com/uniqa_cz_sk/status/1780146636875776382","Tue Apr 16 08:10:06 +0000 2024","Věděli jste, že k nejnákladnějším pojistným událostem z cestovního pojištění patří potíže v Himalájích? ✈️ S ohledem na nadmořskou výšku a vzdálenost od ČR jde vždy o vyšší statisíce či miliony korun. ⛰️ Přečtěte si, co všechno pojištění #UNIQA kryje. ⤵️ 
 https://t.co/fnKOVVqP9Y","0","0"
